date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:44	14803/14803	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:43%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/10/20/29412.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/10/20/29412.html	(from http://blogs.pingpoet.com/)
21:23:44	15498/15498	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:43%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/10/14/29030.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/10/14/29030.html	(from http://blogs.pingpoet.com/)
21:23:46	14145/14145	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:44%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/10/05/28428.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/10/05/28428.html	(from http://blogs.pingpoet.com/)
21:23:46	29010/29010	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:44%20GMT	http://blogs.pingpoet.com/overflow/archive/2006/10/14/29029.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2006/10/14/29029.html	(from http://blogs.pingpoet.com/)
21:23:46	14286/14286	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:44%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/10/03/28421.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/10/03/28421.html	(from http://blogs.pingpoet.com/)
21:23:46	14635/14635	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:44%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/10/03/28409.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/10/03/28409.html	(from http://blogs.pingpoet.com/)
21:23:46	13748/13748	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:46%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/09/30/28175.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/09/30/28175.html	(from http://blogs.pingpoet.com/)
21:23:48	25605/25605	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:46%20GMT	http://blogs.pingpoet.com/overflow/archive/2006/10/01/28356.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2006/10/01/28356.html	(from http://blogs.pingpoet.com/)
21:23:48	13835/13835	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:46%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/09/29/28105.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/09/29/28105.html	(from http://blogs.pingpoet.com/)
21:23:48	13853/13853	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:46%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/03/08/19801.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/03/08/19801.html	(from http://blogs.pingpoet.com/)
21:23:48	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20May%202018%2004:23:46%20GMT	http://blogs.pingpoet.com/topbgo.gif	./httrack/blogs.pingpoet.com/topbgo.8.delayed	(from http://blogs.pingpoet.com/Style.css)
21:23:48	16420/16420	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:48%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/09/29/27997.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/09/29/27997.html	(from http://blogs.pingpoet.com/)
21:23:48	114251/114251	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:48%20GMT	http://blogs.pingpoet.com/thoughtchain/	./httrack/blogs.pingpoet.com/thoughtchain/index-2.html	(from http://blogs.pingpoet.com/)
21:23:48	14099/14099	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:48%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/09/17/27300.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/09/17/27300.html	(from http://blogs.pingpoet.com/)
21:23:48	13899/13899	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:48%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/09/14/27201.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/09/14/27201.html	(from http://blogs.pingpoet.com/)
21:23:50	27104/27104	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:49%20GMT	http://blogs.pingpoet.com/overflow/archive/2006/09/13/27030.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2006/09/13/27030.html	(from http://blogs.pingpoet.com/)
21:23:50	61269/61269	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:48%20GMT	http://blogs.pingpoet.com/overflow/archive/2005/06/02/2449.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2005/06/02/2449.html	(from http://blogs.pingpoet.com/)
21:23:50	15361/15361	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:49%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/09/09/26596.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/09/09/26596.html	(from http://blogs.pingpoet.com/)
21:23:50	16045/16045	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:49%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/09/08/26585.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/09/08/26585.html	(from http://blogs.pingpoet.com/)
21:23:52	13839/13839	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:51%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/09/08/26501.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/09/08/26501.html	(from http://blogs.pingpoet.com/)
21:23:52	14246/14246	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:51%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/09/08/26498.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/09/08/26498.html	(from http://blogs.pingpoet.com/)
21:23:52	14662/14662	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:51%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2005/01/13/1059.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2005/01/13/1059.html	(from http://blogs.pingpoet.com/)
21:23:52	24677/24677	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:51%20GMT	http://blogs.pingpoet.com/overflow/archive/2006/09/06/26415.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2006/09/06/26415.html	(from http://blogs.pingpoet.com/)
21:23:52	14052/14052	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:52%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/09/05/26393.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/09/05/26393.html	(from http://blogs.pingpoet.com/)
21:23:52	23832/23832	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:52%20GMT	http://blogs.pingpoet.com/overflow/archive/2006/08/26/25777.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2006/08/26/25777.html	(from http://blogs.pingpoet.com/)
21:23:52	14481/14481	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:52%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/08/25/25756.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/08/25/25756.html	(from http://blogs.pingpoet.com/)
21:23:52	24368/24368	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:52%20GMT	http://blogs.pingpoet.com/overflow/archive/2006/08/24/25723.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2006/08/24/25723.html	(from http://blogs.pingpoet.com/)
21:23:54	27445/27445	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:52%20GMT	http://blogs.pingpoet.com/overflow/archive/2006/08/20/25706.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2006/08/20/25706.html	(from http://blogs.pingpoet.com/)
21:23:54	24932/24932	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:52%20GMT	http://blogs.pingpoet.com/overflow/archive/2006/08/20/25704.aspx	./httrack/blogs.pingpoet.com/overflow/archive/2006/08/20/25704.html	(from http://blogs.pingpoet.com/)
21:23:54	14963/14963	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:52%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/08/16/25690.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/08/16/25690.html	(from http://blogs.pingpoet.com/)
